name,zip,marital_status,citizenship,dob
"Kim, Brian",2300,Married/separated,Denmark,1958-07-10
"el-Hameed, Zameel",2300,Married/separated,Denmark,1957-02-04
"Truitt, Hannah",2400,Divorced,Denmark,1948-10-30
"Williams, Bryce",2400,Married/separated,Denmark,1975-01-09
"Wilson, Lane",2300,Married/separated,Denmark,1962-04-19
"Graham, Mariah",2300,Married/separated,Denmark,1961-02-05
"Burback, Holli",2400,Married/separated,Denmark,1963-06-17
"Mollica, Stephanie",2200,Never married,Denmark,1984-04-02
"Patton, Shadizja",2400,Married/separated,Denmark,1965-08-21
"Medina, Jodeci",2200,Never married,Denmark,1997-01-12
"Smith, Robert",2200,Never married,Denmark,1956-03-19
"Davis, Ariel",2400,Married/separated,Denmark,1978-11-08
"Davis, Justice",2100,Married/separated,Denmark,1975-05-09
"Palma, Armando",2400,Never married,Denmark,1981-07-12
"Banuelos, Jesus",2200,Never married,Denmark,1994-06-12
"Nuno Villanueva, Trace",2300,Widowed,Denmark,1961-07-28
"Herrera, Alvin",2400,Never married,Italy,1968-01-17
"Nelson, Leah",2300,Never married,Denmark,1963-11-06
"Walker, Keith",2300,Married/separated,Denmark,1966-04-16
"White, Michal",2200,Married/separated,Denmark,1962-02-10
"Watson, Damara",2300,Never married,Denmark,1976-04-23
"Solis, Gustavo",2200,Divorced,Denmark,1972-10-24
"Terrion, Zheyuan",2400,Never married,Denmark,1987-10-10
"al-Hares, Shahaama",2300,Married/separated,Denmark,1960-06-13
"al-Akram, Nuzha",2400,Married/separated,Denmark,1973-05-30
"el-Mansouri, Faalih",2200,Widowed,Denmark,1963-07-31
"Zhao, Katherine",2200,Never married,Denmark,1990-01-27
"Arias, Kathryn",2400,Married/separated,Denmark,1986-10-27
"Brown, Lawrence",2200,Divorced,Denmark,1960-03-14
"Vigil, Danielle",2200,Married/separated,Denmark,1984-05-07
"Scheid, Gian",2400,Widowed,Denmark,1932-08-25
"Townsend, Robert",2300,Married/separated,Denmark,1993-06-01
"Segura, Matthew",2200,Never married,Denmark,1962-03-29
"Miller, Zachary",2400,Married/separated,Denmark,1971-05-22
"el-Dallal, Ibrahim",2400,Widowed,Denmark,1941-12-24
"Regan, Steven",2100,Never married,Denmark,1981-07-09
"Habich, Jeremy",2400,Divorced,Denmark,1971-07-31
"Felder, Tekeya",2400,Never married,Denmark,1992-12-02
"el-Faris, Saabiqa",2400,Never married,Denmark,1973-06-07
"el-Diab, Mahdi",2300,Divorced,Denmark,1976-07-14
"Lopez, Tia Shaye",2300,Married/separated,Sri Lanka,1987-03-21
"Hayson, Jarred",2400,Divorced,Denmark,1965-01-02
"Starr, Wanbli",2400,Never married,Denmark,1981-07-19
"Gonzales, Jamie",2200,Never married,Estonia,1990-11-20
"Pak, Daniel",2400,Divorced,Denmark,1958-09-29
"Sterett, Justin",2300,Divorced,Denmark,1985-02-01
"Dalton, Elijah",2200,Never married,Denmark,1965-09-13
"al-Shaheen, Maazina",2300,Married/separated,Denmark,1975-03-13
"Abrams, Will",2300,Married/separated,Denmark,1968-10-25
"Pegues, Lakai",2400,Widowed,Denmark,1967-02-05
"Nguyen, Sarah",2400,Never married,Denmark,2000-11-21
"Hathcock, Stefan",2300,Married/separated,Denmark,1969-10-06
"Hopper, Christina",2200,Never married,Denmark,1993-09-28
"Hood, Joshua",2400,Widowed,Denmark,1963-09-05
"Batmanglidj, Tracy",2300,Never married,Denmark,1966-04-12
"al-Saidi, Dhareef",2300,Never married,Denmark,1959-08-20
"Russell, Bruce",2300,Married/separated,Germany,1924-08-25
"Villalba-Marquez, Alberto",2400,Married/separated,Denmark,1971-09-02
"Vigil, Mark",2300,Never married,Denmark,1996-06-19
"Nguyen, Malachai",2300,Married/separated,Denmark,1985-04-01
"al-Turay, Ghazaala",2100,Married/separated,Denmark,1986-03-01
"Hunkar, Kylie",2400,Married/separated,Denmark,1969-12-06
"al-Mannan, Mishaari",2300,Married/separated,Denmark,1958-05-23
"Sinchak, Samantha",2400,Married/separated,Denmark,1958-03-29
"Gomez, Brayan",2300,Married/separated,Denmark,1964-11-02
"Avalaz, Angelic",2300,Widowed,Denmark,1938-08-24
"el-Rahman, Awad",2400,Never married,Iceland,1985-09-29
"Acuna, Dianna",2400,Married/separated,Denmark,1978-11-17
"Jackson, Esther",2200,Divorced,Denmark,1979-11-29
"Woods, Christopher",2300,Never married,Denmark,2002-11-13
"Ingram, Nina",2300,Never married,Denmark,1995-12-04
"Pope, Destiny",2400,Married/separated,Denmark,1966-08-03
"el-Abdo, Sulaimaan",2200,Married/separated,Denmark,1970-06-04
"Sheikh, Chelsey-Rae",2200,Never married,Denmark,2004-10-10
"el-Samra, Nadheera",2100,Never married,Denmark,1996-08-26
"Mckinivan, Tristan",2300,Married/separated,Denmark,1989-12-23
"Ray, Maya",2200,Married/separated,Denmark,1968-02-11
"Silva, Kelly",2100,Married/separated,Denmark,1982-08-03
"Rupley, Xin",2400,Divorced,Denmark,1964-04-26
"Winn, Ja'Von",2400,Never married,Denmark,2003-03-31
"Kopang, Morgan",2200,Married/separated,Denmark,1962-04-06
"Sena, Rudy",2400,Married/separated,Denmark,1973-09-06
"Campbell, Phoenix",2300,Married/separated,Denmark,1978-12-12
"Wong, Daniel",2100,Widowed,Denmark,1966-03-12
"Sherman, Tyler",2200,Married/separated,Denmark,1961-03-27
"Wilson, Joe",2400,Married/separated,Denmark,1978-10-05
"al-Laham, Taariq",2200,Married/separated,Denmark,1971-09-03
